protein,module,kME,abs_kME,r_mu,abs_r_mu,r_mu_p,in_GR_module,r_mu_q,hub_class
RPA4092,1,-0.16777400501345555,0.16777400501345555,-0.2501061578385842,0.2501061578385842,0.02525373686520429,True,0.04298459152949987,Other
RPA4105,3,-0.30189887576100016,0.30189887576100016,-0.27876537731673406,0.27876537731673406,0.012281153185273591,True,0.022715240503040895,Other
RPA4119,3,-0.24844220853375287,0.24844220853375287,0.00718253259121323,0.00718253259121323,0.9495815705165195,True,0.9614901725458979,Other
RPA4128,1,-0.9041359388500092,0.9041359388500092,0.588538613089881,0.588538613089881,9.392034034710811e-09,True,7.032664194539507e-08,Other
RPA4129,1,-0.9440978915727222,0.9440978915727222,0.7367635956300955,0.7367635956300955,6.700258322633953e-15,True,2.7048651532894027e-13,WGCNA Hub only
RPA4130,13,-0.801693994231758,0.801693994231758,0.517970443938535,0.517970443938535,8.621783295327515e-07,True,4.303938596619138e-06,Other
RPA4133,1,-0.6572251969196213,0.6572251969196213,0.5459006974443554,0.5459006974443554,1.63069159257241e-07,True,9.375214512095868e-07,Other
RPA4134,1,-0.6987211167419148,0.6987211167419148,0.31206411592475736,0.31206411592475736,0.0048324353050155314,True,0.009800290350900914,Other
RPA4137,1,-0.5263414530807694,0.5263414530807694,0.05646334764177277,0.05646334764177277,0.6188559770513185,True,0.6764070331867559,Other
RPA4138,1,-0.4335303852711479,0.4335303852711479,0.06050018897380906,0.06050018897380906,0.5939627759535043,True,0.6549815171886327,Other
RPA4141,1,-0.7411738437212075,0.7411738437212075,0.33257808691992385,0.33257808691992385,0.002576989714506236,True,0.005636595877312227,Other
RPA4142,10,-0.42199893290388,0.42199893290388,-0.13444462816889438,0.13444462816889438,0.23444338500994133,False,0.300871711101217,Other
RPA4143,4,0.6610622518722196,0.6610622518722196,-0.06908626722925638,0.06908626722925638,0.5425712734913936,False,0.6105352733776431,Other
RPA4147,3,-0.742964780697779,0.742964780697779,-0.4280322028069551,0.4280322028069551,7.477134278368871e-05,True,0.00024147892791184339,Other
RPA4148,3,-0.8957500444429249,0.8957500444429249,-0.6499154245305592,0.6499154245305592,6.890613160438584e-11,True,8.411517175121895e-10,Other
RPA4149,2,-0.36158227187356745,0.36158227187356745,0.26288287262344967,0.26288287262344967,0.01847846396147421,True,0.03264938875019753,Other
RPA4152,9,0.5949886902034013,0.5949886902034013,-0.31286074036758516,0.31286074036758516,0.004719606020525707,True,0.00962053609233396,Other
RPA4154,15,0.6214505019100731,0.6214505019100731,-0.23976929934253632,0.23976929934253632,0.03218034629898011,False,0.05349946560179594,Other
RPA4155,2,-0.6243340939435188,0.6243340939435188,0.3661833473716244,0.3661833473716244,0.0008361931634820079,True,0.0020911317054403316,Other
RPA4156,5,0.9277500505142506,0.9277500505142506,-0.1267596719219993,0.1267596719219993,0.2625195838354055,False,0.3320836969907003,Other
RPA4160,2,-0.3374644231867416,0.3374644231867416,0.228238376336587,0.228238376336587,0.04172439626380659,True,0.06737582944512073,Other
RPA4170,8,0.4218492747599306,0.4218492747599306,0.11236092509603565,0.11236092509603565,0.3210432105527337,False,0.39455806882622535,Other
RPA4174,4,0.7597068015225885,0.7597068015225885,0.11751922178518129,0.11751922178518129,0.2991846729739913,False,0.3708851386600146,Other
