protein,module,in_GR_module
RPA3241,8,False
RPA3242,1,True
RPA3243,6,False
RPA3244,6,False
RPA3245,5,False
RPA3246,13,True
RPA3247,6,False
RPA3248,2,True
RPA3249,11,False
RPA3250,1,True
RPA3251,5,False
RPA3253,6,False
RPA3254,5,False
RPA3255,6,False
RPA3261,1,True
RPA3265,1,True
RPA3266,6,False
RPA3268,6,False
RPA3269,2,True
RPA3272,4,False
RPA3273,5,False
RPA3274,4,False
RPA3283,14,False
RPA3284,8,False
RPA3285,13,True
RPA3286,4,False
RPA3287,4,False
RPA3288,16,False
RPA3289,4,False
RPA3293,5,False
RPA3294,21,False
RPA3297,9,True
RPA3301,4,False
RPA3302,2,True
RPA3308,12,False
RPA3309,10,False
RPA3311,7,True
RPA3313,10,False
RPA3321,20,False
RPA3322,12,False
RPA3328,1,True
RPA3354,1,True
RPA3360,3,True
RPA3362,1,True
RPA3363,1,True
RPA3364,14,False
RPA3366,1,True
RPA3372,10,False
RPA3373,11,False
RPA3377,8,False
RPA3380,5,False
RPA3381,2,True
RPA3388,2,True
RPA3389,19,False
RPA3390,5,False
RPA3391,14,False
RPA3392,2,True
RPA3396,17,False
RPA3400,2,True
RPA3402,8,False
RPA3403,2,True
RPA3409,2,True
RPA3412,1,True
RPA3416,13,True
RPA3422,2,True
RPA3423,17,False
RPA3425,1,True
RPA3429,11,False
RPA3430,2,True
RPA3432,2,True
RPA3435,1,True
RPA3439,14,False
RPA3440,1,True
RPA3442,12,False
RPA3444,9,True
RPA3445,1,True
RPA3446,5,False
RPA3447,3,True
RPA3449,5,False
RPA3450,14,False
RPA3451,16,False
RPA3457,20,False
RPA3458,8,False
RPA3466,12,False
RPA3470,8,False
RPA3471,2,True
RPA3472,13,True
RPA3473,10,False
RPA3474,8,False
RPA3476,11,False
RPA3477,2,True
RPA3479,16,False
RPA3481,2,True
RPA3482,2,True
RPA3485,4,False
RPA3486,3,True
RPA3488,4,False
RPA3490,6,False
RPA3491,14,False
RPA3493,5,False
RPA3494,9,True
RPA3499,2,True
RPA3501,3,True
RPA3502,19,False
RPA3506,1,True
RPA3507,15,False
RPA3510,13,True
RPA3511,13,True
RPA3515,4,False
RPA3517,9,True
RPA3519,11,False
RPA3520,1,True
RPA3522,4,False
RPA3523,20,False
RPA3525,6,False
RPA3528,14,False
RPA3529,7,True
RPA3530,15,False
RPA3532,4,False
RPA3534,6,False
RPA3538,12,False
RPA3540,7,True
RPA3541,1,True
RPA3543,11,False
RPA3546,11,False
RPA3548,2,True
RPA3549,8,False
RPA3554,1,True
RPA3555,11,False
RPA3557,2,True
RPA3561,3,True
RPA3562,1,True
RPA3564,3,True
RPA3567,9,True
RPA3568,10,False
RPA3574,1,True
RPA3575,12,False
RPA3576,4,False
RPA3577,6,False
RPA3583,20,False
RPA3588,13,True
RPA3591,20,False
RPA3592,18,False
RPA3593,15,False
RPA3594,1,True
RPA3595,17,False
RPA3596,14,False
RPA3600,2,True
RPA3605,16,False
RPA3607,1,True
RPA3609,6,False
RPA3613,4,False
RPA3614,2,True
RPA3615,6,False
RPA3618,4,False
RPA3619,1,True
RPA3622,11,False
RPA3624,8,False
RPA3626,10,False
RPA3627,5,False
RPA3628,14,False
RPA3629,2,True
RPA3635,4,False
RPA3636,4,False
RPA3637,4,False
RPA3639,12,False
RPA3641,1,True
RPA3643,13,True
RPA3644,1,True
RPA3646,14,False
RPA3648,10,False
RPA3651,15,False
RPA3653,13,True
RPA3654,12,False
RPA3657,2,True
RPA3659,8,False
RPA3660,9,True
